,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,ranking
30,Atlanta_01/05/02,Minnesota,2001.0,1/5/02,@ Atlanta,112-96,Regular Season,-2.5,1.0,16.0,1.0,13.5,Atlanta,Minnesota,3.0,0.0,
31,Atlanta_01/05/08,Atlanta,2007.0,1/5/08,Brooklyn,        107-113,Regular Season,-4.5,0.0,-6.0,0.0,-10.5,Atlanta,Brooklyn,0.0,1.0,13.0
34,Atlanta_01/05/12,Miami,2011.0,1/5/12,@ Atlanta,        116-109,Regular Season,-1.0,1.0,7.0,1.0,6.0,Atlanta,Miami,0.0,1.0,1.0
37,Atlanta_01/05/13,Atlanta,2012.0,1/5/13,Boston,        81-89,Regular Season,-5.5,0.0,-8.0,0.0,-13.5,Atlanta,Boston,0.0,4.0,8.0
40,Atlanta_01/05/91,Atlanta,1990.0,1/5/91,Minnesota,117-112,Regular Season,-12.5,0.0,5.0,1.0,-7.5,Atlanta,Minnesota,0.0,0.0,
41,Atlanta_01/05/93,Atlanta,1992.0,1/5/93,Washington,100-107,Regular Season,-3.0,0.0,-7.0,0.0,-10.0,Atlanta,Washington,1.0,0.0,
42,Atlanta_01/06/01,Orlando,2000.0,1/6/01,@ Atlanta,82-83,Regular Season,-2.0,0.0,-1.0,0.0,-3.0,Atlanta,Orlando,0.0,0.0,
43,Atlanta_01/06/03,Brooklyn,2002.0,1/6/03,@ Atlanta,101-94,Regular Season,-5.0,1.0,7.0,1.0,2.0,Atlanta,Brooklyn,2.0,1.0,5.0
46,Atlanta_01/06/07,L.A. Clippers,2006.0,1/6/07,@ Atlanta,        74-86,Regular Season,-4.5,0.0,-12.0,0.0,-16.5,Atlanta,L.A. Clippers,0.0,1.0,19.0
49,Atlanta_01/06/10,Atlanta,2009.0,1/6/10,Brooklyn,        119-89,Regular Season,-14.0,1.0,30.0,1.0,16.0,Atlanta,Brooklyn,2.0,0.0,5.0
52,Atlanta_01/06/92,Atlanta,1991.0,1/6/92,Houston,109-97,Regular Season,-2.5,1.0,12.0,1.0,9.5,Atlanta,Houston,0.0,0.0,
53,Atlanta_01/06/95,Atlanta,1994.0,1/6/95,Washington,112-90,Regular Season,-9.5,1.0,22.0,1.0,12.5,Atlanta,Washington,1.0,0.0,
54,Atlanta_01/07/00,Atlanta,1999.0,1/7/00,Toronto,105-97,Regular Season,-2.0,1.0,8.0,1.0,6.0,Atlanta,Toronto,0.0,0.0,
55,Atlanta_01/07/05,Sacramento,2004.0,1/7/05,@ Atlanta,        100-97,Regular Season,-9.5,0.0,3.0,1.0,-6.5,Atlanta,Sacramento,0.0,1.0,8.0
58,Atlanta_01/07/06,Atlanta,2005.0,1/7/06,New Orleans,        101-93,Regular Season,-3.5,1.0,8.0,1.0,4.5,Atlanta,New Orleans,0.0,0.0,22.0
61,Atlanta_01/07/09,Atlanta,2008.0,1/7/09,Orlando,        102-106,Regular Season,-2.0,0.0,-4.0,0.0,-6.0,Atlanta,Orlando,1.0,3.0,9.0
64,Atlanta_01/07/12,Chicago,2011.0,1/7/12,@ Atlanta,        94-109,Regular Season,-6.0,0.0,-15.0,0.0,-21.0,Atlanta,Chicago,0.0,0.0,2.0
67,Atlanta_01/07/94,Atlanta,1993.0,1/7/94,Portland,100-85,Regular Season,-8.5,1.0,15.0,1.0,6.5,Atlanta,Portland,3.0,2.0,
68,Atlanta_01/07/95,Atlanta,1994.0,1/7/95,Brooklyn,102-85,Regular Season,-5.0,1.0,17.0,1.0,12.0,Atlanta,Brooklyn,4.0,0.0,
69,Atlanta_01/07/97,Atlanta,1996.0,1/7/97,Phoenix,105-103,Regular Season,-8.5,0.0,2.0,1.0,-6.5,Atlanta,Phoenix,5.0,4.0,
70,Atlanta_01/08/02,Portland,2001.0,1/8/02,@ Atlanta,92-101,Regular Season,-1.0,0.0,-9.0,0.0,-10.0,Atlanta,Portland,2.0,0.0,
71,Atlanta_01/08/03,Dallas,2002.0,1/8/03,@ Atlanta,117-99,Regular Season,-7.5,1.0,18.0,1.0,10.5,Atlanta,Dallas,3.0,1.0,1.0
74,Atlanta_01/08/10,Atlanta,2009.0,1/8/10,Boston,        93-85,Regular Season,-3.5,1.0,8.0,1.0,4.5,Atlanta,Boston,0.0,0.0,5.0
77,Atlanta_01/08/11,Atlanta,2010.0,1/8/11,Indiana,        108-93,Regular Season,-7.0,1.0,15.0,1.0,8.0,Atlanta,Indiana,1.0,0.0,11.0
80,Atlanta_01/08/14,Indiana,2013.0,1/8/14,@ Atlanta,        87-97,Regular Season,-4.0,0.0,-10.0,0.0,-14.0,Atlanta,Indiana,1.0,0.0,1.0
83,Atlanta_01/08/91,Atlanta,1990.0,1/8/91,San Antonio,109-98,Regular Season,-4.5,1.0,11.0,1.0,6.5,Atlanta,San Antonio,1.0,1.0,
84,Atlanta_01/08/94,Atlanta,1993.0,1/8/94,Cleveland,102-89,Regular Season,-6.0,1.0,13.0,1.0,7.0,Atlanta,Cleveland,3.0,0.0,
85,Atlanta_01/09/01,Oklahoma City,2000.0,1/9/01,@ Atlanta,95-86,Regular Season,-3.5,1.0,9.0,1.0,5.5,Atlanta,Oklahoma City,5.0,4.0,
86,Atlanta_01/09/08,Atlanta,2007.0,1/9/08,Cleveland,        90-81,Regular Season,-2.5,1.0,9.0,1.0,6.5,Atlanta,Cleveland,0.0,1.0,14.0
89,Atlanta_01/09/92,Atlanta,1991.0,1/9/92,Dallas,124-108,Regular Season,-10.0,1.0,16.0,1.0,6.0,Atlanta,Dallas,0.0,1.0,
90,Atlanta_01/09/96,Atlanta,1995.0,1/9/96,Sacramento,104-88,Regular Season,-1.5,1.0,16.0,1.0,14.5,Atlanta,Sacramento,1.0,1.0,
91,Atlanta_01/09/98,Atlanta,1997.0,1/9/98,Washington,82-77,Regular Season,-4.0,1.0,5.0,1.0,1.0,Atlanta,Washington,3.0,0.0,
92,Atlanta_01/10/03,Houston,2002.0,1/10/03,@ Atlanta,75-84,Regular Season,-5.5,0.0,-9.0,0.0,-14.5,Atlanta,Houston,0.0,1.0,12.0
95,Atlanta_01/10/06,Atlanta,2005.0,1/10/06,Boston,        94-98,Regular Season,-2.5,0.0,-4.0,0.0,-6.5,Atlanta,Boston,0.0,1.0,29.0
98,Atlanta_01/10/07,Atlanta,2006.0,1/10/07,New Orleans,        77-96,Regular Season,-5.5,0.0,-19.0,0.0,-24.5,Atlanta,New Orleans,0.0,0.0,30.0
101,Atlanta_01/10/14,Houston,2013.0,1/10/14,@ Atlanta,        80-83,Regular Season,-2.5,0.0,-3.0,0.0,-5.5,Atlanta,Houston,4.0,0.0,7.0
104,Atlanta_01/11/01,Atlanta,2000.0,1/11/01,Golden State,107-96,Regular Season,-4.5,1.0,11.0,1.0,6.5,Atlanta,Golden State,2.0,0.0,
105,Atlanta_01/11/03,Atlanta,2002.0,1/11/03,New Orleans,87-80,Regular Season,-2.0,1.0,7.0,1.0,5.0,Atlanta,New Orleans,0.0,1.0,21.0
108,Atlanta_01/11/05,Milwaukee,2004.0,1/11/05,@ Atlanta,        80-103,Regular Season,-4.0,0.0,-23.0,0.0,-27.0,Atlanta,Milwaukee,4.0,1.0,26.0
111,Atlanta_01/11/08,Atlanta,2007.0,1/11/08,Washington,        98-102,Regular Season,-2.5,0.0,-4.0,0.0,-6.5,Atlanta,Washington,0.0,2.0,14.0
114,Atlanta_01/11/09,Atlanta,2008.0,1/11/09,Philadelphia,        94-109,Regular Season,-5.5,0.0,-15.0,0.0,-20.5,Atlanta,Philadelphia,0.0,0.0,9.0
117,Atlanta_01/11/13,Atlanta,2012.0,1/11/13,Utah,        103-95,Regular Season,-4.5,1.0,8.0,1.0,3.5,Atlanta,Utah,0.0,0.0,8.0
120,Atlanta_01/11/97,San Antonio,1996.0,1/11/97,@ Atlanta,82-87,Regular Season,,,-5.0,0.0,,Atlanta,San Antonio,3.0,1.0,
121,Atlanta_01/12/02,Boston,2001.0,1/12/02,@ Atlanta,115-91,Regular Season,-1.0,1.0,24.0,1.0,23.0,Atlanta,Boston,0.0,3.0,
122,Atlanta_01/12/07,Detroit,2006.0,1/12/07,@ Atlanta,        93-99,Regular Season,-7.5,0.0,-6.0,0.0,-13.5,Atlanta,Detroit,3.0,0.0,8.0
125,Atlanta_01/12/12,Atlanta,2011.0,1/12/12,Charlotte,        111-81,Regular Season,-7.5,1.0,30.0,1.0,22.5,Atlanta,Charlotte,2.0,2.0,6.0
128,Atlanta_01/12/93,Golden State,1992.0,1/12/93,@ Atlanta,118-126,Regular Season,-2.5,0.0,-8.0,0.0,-10.5,Atlanta,Golden State,0.0,0.0,
129,Atlanta_01/12/94,Atlanta,1993.0,1/12/94,Chicago,92-81,Regular Season,-4.5,1.0,11.0,1.0,6.5,Atlanta,Chicago,1.0,2.0,
130,Atlanta_01/13/01,Atlanta,2000.0,1/13/01,L.A. Clippers,108-88,Regular Season,-4.5,1.0,20.0,1.0,15.5,Atlanta,L.A. Clippers,2.0,0.0,
131,Atlanta_01/13/04,San Antonio,2003.0,1/13/04,@ Atlanta,77-86,Regular Season,-8.5,0.0,-9.0,0.0,-17.5,Atlanta,San Antonio,0.0,3.0,1.0
134,Atlanta_01/13/08,Atlanta,2007.0,1/13/08,Chicago,        105-84,Regular Season,-4.0,1.0,21.0,1.0,17.0,Atlanta,Chicago,0.0,1.0,14.0
137,Atlanta_01/13/10,Atlanta,2009.0,1/13/10,Washington,        94-82,Regular Season,-11.0,1.0,12.0,1.0,1.0,Atlanta,Washington,0.0,0.0,7.0
140,Atlanta_01/13/95,Orlando,1994.0,1/13/95,@ Atlanta,101-96,Regular Season,-5.0,0.0,5.0,1.0,0.0,Atlanta,Orlando,0.0,1.0,
141,Atlanta_01/13/96,Atlanta,1995.0,1/13/96,Boston,108-105,Regular Season,-8.0,0.0,3.0,1.0,-5.0,Atlanta,Boston,0.0,0.0,
142,Atlanta_01/14/06,Washington,2005.0,1/14/06,@ Atlanta,        114-106,Regular Season,-2.5,1.0,8.0,1.0,5.5,Atlanta,Washington,1.0,0.0,19.0
145,Atlanta_01/14/12,Atlanta,2011.0,1/14/12,Minnesota,        93-91,Regular Season,-6.5,0.0,2.0,1.0,-4.5,Atlanta,Minnesota,1.0,2.0,6.0
148,Atlanta_01/14/91,Atlanta,1990.0,1/14/91,New York,96-82,Regular Season,-8.5,1.0,14.0,1.0,5.5,Atlanta,New York,0.0,0.0,
149,Atlanta_01/14/92,Atlanta,1991.0,1/14/92,Milwaukee,93-88,Regular Season,-3.5,1.0,5.0,1.0,1.5,Atlanta,Milwaukee,1.0,0.0,
150,Atlanta_01/14/93,Atlanta,1992.0,1/14/93,Detroit,108-91,Regular Season,-3.0,1.0,17.0,1.0,14.0,Atlanta,Detroit,2.0,2.0,
151,Atlanta_01/14/94,Atlanta,1993.0,1/14/94,Dallas,113-96,Regular Season,-15.0,1.0,17.0,1.0,2.0,Atlanta,Dallas,3.0,0.0,
152,Atlanta_01/14/97,Atlanta,1996.0,1/14/97,Minnesota,95-93,Regular Season,-8.5,0.0,2.0,1.0,-6.5,Atlanta,Minnesota,4.0,0.0,
153,Atlanta_01/14/98,Atlanta,1997.0,1/14/98,Dallas,108-82,Regular Season,-11.0,1.0,26.0,1.0,15.0,Atlanta,Dallas,5.0,0.0,
154,Atlanta_01/15/00,Atlanta,1999.0,1/15/00,Philadelphia,98-101,Regular Season,-2.0,0.0,-3.0,0.0,-5.0,Atlanta,Philadelphia,6.0,0.0,
155,Atlanta_01/15/01,Atlanta,2000.0,1/15/01,Brooklyn,78-84,Regular Season,-3.5,0.0,-6.0,0.0,-9.5,Atlanta,Brooklyn,0.0,0.0,
156,Atlanta_01/15/02,Dallas,2001.0,1/15/02,@ Atlanta,116-107,Regular Season,-4.0,1.0,9.0,1.0,5.0,Atlanta,Dallas,0.0,0.0,
157,Atlanta_01/15/05,Atlanta,2004.0,1/15/05,Charlotte,        103-95,Regular Season,-4.5,1.0,8.0,1.0,3.5,Atlanta,Charlotte,0.0,1.0,29.0
160,Atlanta_01/15/07,Atlanta,2006.0,1/15/07,Boston,        100-96,Regular Season,-5.5,0.0,4.0,1.0,-1.5,Atlanta,Boston,1.0,4.0,29.0
163,Atlanta_01/15/08,Atlanta,2007.0,1/15/08,Denver,        104-93,Regular Season,-3.0,1.0,11.0,1.0,8.0,Atlanta,Denver,2.0,0.0,18.0
166,Atlanta_01/15/10,Atlanta,2009.0,1/15/10,Phoenix,        102-101,Regular Season,-5.5,0.0,1.0,1.0,-4.5,Atlanta,Phoenix,3.0,0.0,7.0
169,Atlanta_01/15/11,Atlanta,2010.0,1/15/11,Houston,        106-112,Regular Season,-8.5,0.0,-6.0,0.0,-14.5,Atlanta,Houston,4.0,0.0,12.0
172,Atlanta_01/15/96,Atlanta,1995.0,1/15/96,Detroit,96-88,Regular Season,-4.5,1.0,8.0,1.0,3.5,Atlanta,Detroit,0.0,0.0,
173,Atlanta_01/16/06,Atlanta,2005.0,1/16/06,Houston,        94-83,Regular Season,-4.0,1.0,11.0,1.0,7.0,Atlanta,Houston,1.0,0.0,28.0
176,Atlanta_01/16/12,Atlanta,2011.0,1/16/12,Toronto,        93-84,Regular Season,-10.0,0.0,9.0,1.0,-1.0,Atlanta,Toronto,0.0,0.0,12.0
179,Atlanta_01/16/13,Atlanta,2012.0,1/16/13,Brooklyn,        109-95,Regular Season,-3.0,1.0,14.0,1.0,11.0,Atlanta,Brooklyn,1.0,0.0,12.0
182,Atlanta_01/16/14,Atlanta,2013.0,1/16/14,Brooklyn,        110-127,Regular Season,-1.0,0.0,-17.0,0.0,-18.0,Atlanta,Brooklyn,2.0,0.0,13.0
185,Atlanta_01/16/95,Atlanta,1994.0,1/16/95,Miami,99-95,Regular Season,-5.5,0.0,4.0,1.0,-1.5,Atlanta,Miami,0.0,1.0,
186,Atlanta_01/16/97,Atlanta,1996.0,1/16/97,Orlando,78-67,Regular Season,-9.5,1.0,11.0,1.0,1.5,Atlanta,Orlando,1.0,1.0,
187,Atlanta_01/16/98,Atlanta,1997.0,1/16/98,Golden State,102-89,Regular Season,-13.5,0.0,13.0,1.0,-0.5,Atlanta,Golden State,2.0,1.0,
188,Atlanta_01/17/00,Milwaukee,1999.0,1/17/00,@ Atlanta,107-101,Regular Season,-1.0,1.0,6.0,1.0,5.0,Atlanta,Milwaukee,0.0,3.0,
189,Atlanta_01/17/02,Atlanta,2001.0,1/17/02,Chicago,91-94,Regular Season,-7.5,0.0,-3.0,0.0,-10.5,Atlanta,Chicago,0.0,0.0,
190,Atlanta_01/17/04,Atlanta,2003.0,1/17/04,Toronto,75-70,Regular Season,-2.5,1.0,5.0,1.0,2.5,Atlanta,Toronto,0.0,0.0,27.0
193,Atlanta_01/17/05,Brooklyn,2004.0,1/17/05,@ Atlanta,        85-84,Regular Season,0.0,1.0,1.0,1.0,1.0,Atlanta,Brooklyn,0.0,1.0,25.0
196,Atlanta_01/17/11,Atlanta,2010.0,1/17/11,Sacramento,        100-98,Regular Season,-9.5,0.0,2.0,1.0,-7.5,Atlanta,Sacramento,1.0,0.0,9.0
199,Atlanta_01/17/94,Atlanta,1993.0,1/17/94,Milwaukee,102-98,Regular Season,-11.0,0.0,4.0,1.0,-7.0,Atlanta,Milwaukee,0.0,2.0,
200,Atlanta_01/17/96,Atlanta,1995.0,1/17/96,Indiana,102-93,Regular Season,-1.0,1.0,9.0,1.0,8.0,Atlanta,Indiana,1.0,0.0,
201,Atlanta_01/18/03,Atlanta,2002.0,1/18/03,New York,92-95,Regular Season,-3.5,0.0,-3.0,0.0,-6.5,Atlanta,New York,0.0,3.0,20.0
204,Atlanta_01/18/06,Detroit,2005.0,1/18/06,@ Atlanta,        117-89,Regular Season,-9.5,1.0,28.0,1.0,18.5,Atlanta,Detroit,0.0,0.0,1.0
207,Atlanta_01/18/10,Atlanta,2009.0,1/18/10,Oklahoma City,        91-94,Regular Season,-6.0,0.0,-3.0,0.0,-9.0,Atlanta,Oklahoma City,0.0,0.0,9.0
210,Atlanta_01/18/12,Atlanta,2011.0,1/18/12,Portland,        92-89,Regular Season,-2.0,1.0,3.0,1.0,1.0,Atlanta,Portland,1.0,0.0,12.0
213,Atlanta_01/18/91,Atlanta,1990.0,1/18/91,Chicago,114-105,Regular Season,-1.5,1.0,9.0,1.0,7.5,Atlanta,Chicago,0.0,2.0,
214,Atlanta_01/18/95,Atlanta,1994.0,1/18/95,Philadelphia,80-92,Regular Season,-9.5,0.0,-12.0,0.0,-21.5,Atlanta,Philadelphia,1.0,2.0,
215,Atlanta_01/18/97,Atlanta,1996.0,1/18/97,Milwaukee,94-71,Regular Season,-8.0,1.0,23.0,1.0,15.0,Atlanta,Milwaukee,0.0,4.0,
216,Atlanta_01/19/02,Milwaukee,2001.0,1/19/02,@ Atlanta,116-107,Regular Season,-3.0,1.0,9.0,1.0,6.0,Atlanta,Milwaukee,1.0,0.0,
217,Atlanta_01/19/04,Indiana,2003.0,1/19/04,@ Atlanta,100-97,Regular Season,-6.0,0.0,3.0,1.0,-3.0,Atlanta,Indiana,0.0,0.0,3.0
220,Atlanta_01/19/07,Atlanta,2006.0,1/19/07,Charlotte,        75-96,Regular Season,-5.5,0.0,-21.0,0.0,-26.5,Atlanta,Charlotte,0.0,0.0,29.0
223,Atlanta_01/19/09,Atlanta,2008.0,1/19/09,Toronto,        87-84,Regular Season,-7.5,0.0,3.0,1.0,-4.5,Atlanta,Toronto,0.0,0.0,13.0
226,Atlanta_01/19/13,San Antonio,2012.0,1/19/13,@ Atlanta,        98-93,Regular Season,-3.5,1.0,5.0,1.0,1.5,Atlanta,San Antonio,2.0,1.0,3.0
229,Atlanta_01/19/91,Atlanta,1990.0,1/19/91,Brooklyn,114-84,Regular Season,-11.0,1.0,30.0,1.0,19.0,Atlanta,Brooklyn,0.0,1.0,
230,Atlanta_01/19/94,Atlanta,1993.0,1/19/94,Golden State,119-120,Regular Season,-6.0,0.0,-1.0,0.0,-7.0,Atlanta,Golden State,3.0,0.0,
231,Atlanta_01/20/03,Atlanta,2002.0,1/20/03,Chicago,102-115,Regular Season,-4.5,0.0,-13.0,0.0,-17.5,Atlanta,Chicago,0.0,0.0,25.0
234,Atlanta_01/20/06,Milwaukee,2005.0,1/20/06,@ Atlanta,        118-102,Regular Season,-2.0,1.0,16.0,1.0,14.0,Atlanta,Milwaukee,0.0,0.0,11.0
237,Atlanta_01/20/10,Atlanta,2009.0,1/20/10,Sacramento,        108-97,Regular Season,-9.0,1.0,11.0,1.0,2.0,Atlanta,Sacramento,1.0,0.0,9.0
240,Atlanta_01/20/14,Miami,2013.0,1/20/14,@ Atlanta,        114-121,Regular Season,-4.5,0.0,-7.0,0.0,-11.5,Atlanta,Miami,0.0,0.0,4.0
243,Atlanta_01/20/96,Atlanta,1995.0,1/20/96,Miami,98-78,Regular Season,-4.0,1.0,20.0,1.0,16.0,Atlanta,Miami,0.0,0.0,
244,Atlanta_01/20/97,Atlanta,1996.0,1/20/97,New Orleans,106-97,Regular Season,-7.5,1.0,9.0,1.0,1.5,Atlanta,New Orleans,1.0,0.0,
245,Atlanta_01/20/98,Atlanta,1997.0,1/20/98,Milwaukee,103-93,Regular Season,-8.5,1.0,10.0,1.0,1.5,Atlanta,Milwaukee,2.0,1.0,
246,Atlanta_01/21/02,Houston,2001.0,1/21/02,@ Atlanta,91-95,Regular Season,-1.0,0.0,-4.0,0.0,-5.0,Atlanta,Houston,1.0,0.0,
247,Atlanta_01/21/04,Atlanta,2003.0,1/21/04,Chicago,97-87,Regular Season,-4.5,1.0,10.0,1.0,5.5,Atlanta,Chicago,1.0,0.0,29.0
250,Atlanta_01/21/08,Atlanta,2007.0,1/21/08,Portland,        109-111,Regular Season,-1.0,0.0,-2.0,0.0,-3.0,Atlanta,Portland,0.0,5.0,18.0
253,Atlanta_01/21/11,Atlanta,2010.0,1/21/11,New Orleans,        59-100,Regular Season,-3.5,0.0,-41.0,0.0,-44.5,Atlanta,New Orleans,0.0,3.0,9.0
256,Atlanta_01/21/12,Atlanta,2011.0,1/21/12,Cleveland,        121-94,Regular Season,-7.5,1.0,27.0,1.0,19.5,Atlanta,Cleveland,0.0,0.0,12.0
259,Atlanta_01/21/13,Atlanta,2012.0,1/21/13,Minnesota,        104-96,Regular Season,-8.0,0.0,8.0,1.0,0.0,Atlanta,Minnesota,1.0,0.0,18.0
262,Atlanta_01/21/94,Atlanta,1993.0,1/21/94,Brooklyn,111-113,Regular Season,-8.5,0.0,-2.0,0.0,-10.5,Atlanta,Brooklyn,3.0,0.0,
263,Atlanta_01/21/95,Atlanta,1994.0,1/21/95,Boston,89-84,Regular Season,-6.0,0.0,5.0,1.0,-1.0,Atlanta,Boston,0.0,1.0,
264,Atlanta_01/22/00,Atlanta,1999.0,1/22/00,Washington,111-93,Regular Season,-6.0,1.0,18.0,1.0,12.0,Atlanta,Washington,0.0,0.0,
265,Atlanta_01/22/03,Portland,2002.0,1/22/03,@ Atlanta,112-110,Regular Season,-3.0,0.0,2.0,1.0,-1.0,Atlanta,Portland,1.0,0.0,6.0
268,Atlanta_01/22/05,Boston,2004.0,1/22/05,@ Atlanta,        96-100,Regular Season,-3.5,0.0,-4.0,0.0,-7.5,Atlanta,Boston,0.0,0.0,20.0
271,Atlanta_01/22/10,Atlanta,2009.0,1/22/10,Charlotte,        103-89,Regular Season,-6.5,1.0,14.0,1.0,7.5,Atlanta,Charlotte,1.0,0.0,9.0
274,Atlanta_01/22/91,Atlanta,1990.0,1/22/91,Miami,118-107,Regular Season,-14.5,0.0,11.0,1.0,-3.5,Atlanta,Miami,4.0,0.0,
275,Atlanta_01/22/93,Atlanta,1992.0,1/22/93,Brooklyn,109-91,Regular Season,-3.0,1.0,18.0,1.0,15.0,Atlanta,Brooklyn,0.0,3.0,
276,Atlanta_01/22/96,Atlanta,1995.0,1/22/96,Houston,105-96,Regular Season,-1.0,1.0,9.0,1.0,8.0,Atlanta,Houston,2.0,0.0,
277,Atlanta_01/23/04,New York,2003.0,1/23/04,@ Atlanta,96-94,Regular Season,-3.0,0.0,2.0,1.0,-1.0,Atlanta,New York,1.0,0.0,22.0
280,Atlanta_01/23/06,Indiana,2005.0,1/23/06,@ Atlanta,        94-104,Regular Season,-5.0,0.0,-10.0,0.0,-15.0,Atlanta,Indiana,0.0,0.0,7.0
283,Atlanta_01/23/09,Atlanta,2008.0,1/23/09,Milwaukee,        117-87,Regular Season,-5.5,1.0,30.0,1.0,24.5,Atlanta,Milwaukee,0.0,0.0,13.0
286,Atlanta_01/23/93,Phoenix,1992.0,1/23/93,@ Atlanta,110-91,Regular Season,-4.5,1.0,19.0,1.0,14.5,Atlanta,Phoenix,1.0,0.0,
287,Atlanta_01/23/98,Atlanta,1997.0,1/23/98,Boston,85-89,Regular Season,-10.0,0.0,-4.0,0.0,-14.0,Atlanta,Boston,1.0,2.0,
288,Atlanta_01/24/03,Sacramento,2002.0,1/24/03,@ Atlanta,104-115,Regular Season,-7.0,0.0,-11.0,0.0,-18.0,Atlanta,Sacramento,1.0,0.0,2.0
291,Atlanta_01/24/05,Chicago,2004.0,1/24/05,@ Atlanta,        107-82,Regular Season,-4.0,1.0,25.0,1.0,21.0,Atlanta,Chicago,1.0,1.0,17.0
294,Atlanta_01/24/14,San Antonio,2013.0,1/24/14,@ Atlanta,        105-79,Regular Season,-5.0,1.0,26.0,1.0,21.0,Atlanta,San Antonio,2.0,1.0,3.0
297,Atlanta_01/24/97,Atlanta,1996.0,1/24/97,Washington,117-105,Regular Season,-5.5,1.0,12.0,1.0,6.5,Atlanta,Washington,0.0,0.0,
298,Atlanta_01/24/98,Atlanta,1997.0,1/24/98,Portland,77-92,Regular Season,-7.0,0.0,-15.0,0.0,-22.0,Atlanta,Portland,1.0,1.0,
299,Atlanta_01/25/00,Atlanta,1999.0,1/25/00,Chicago,96-89,Regular Season,-8.5,0.0,7.0,1.0,-1.5,Atlanta,Chicago,0.0,1.0,
300,Atlanta_01/25/02,Detroit,2001.0,1/25/02,@ Atlanta,107-90,Regular Season,-6.0,1.0,17.0,1.0,11.0,Atlanta,Detroit,0.0,1.0,
301,Atlanta_01/25/06,Cleveland,2005.0,1/25/06,@ Atlanta,        106-97,Regular Season,-5.0,1.0,9.0,1.0,4.0,Atlanta,Cleveland,0.0,2.0,11.0
