,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,permalink,attendance
68,Arizona_Sunday 10/08/00,Arizona,2000,Sunday 10/08/00,Cleveland,29-21,Week 6,-4.5,1,8,1,3.5,Arizona,Cleveland,4,0,200010080crd,44296.0
69,Arizona_Sunday 10/08/06,Kansas City,2006,Sunday 10/08/06,@ Arizona,23-20,Week 5,-3.5,0,3,1,-0.5,Arizona,Kansas City,0,5,200610080crd,
70,Arizona_Sunday 10/09/05,Carolina,2005,Sunday 10/09/05,@ Arizona,24-20,Week 5,-2.5,1,4,1,1.5,Arizona,Carolina,2,0,200510090crd,38809.0
71,Arizona_Sunday 10/10/10,New Orleans,2010,Sunday 10/10/10,@ Arizona,20-30,Week 5,-6.5,0,-10,0,-16.5,Arizona,New Orleans,0,0,201010100crd,62621.0
72,Arizona_Sunday 10/10/99,Arizona,1999,Sunday 10/10/99,N.Y. Giants,14-3,Week 5,-2.5,1,11,1,8.5,Arizona,N.Y. Giants,1,2,199910100crd,49015.0
73,Arizona_Sunday 10/11/09,Arizona,2009,Sunday 10/11/09,Houston,28-21,Week 5,-5.5,1,7,1,1.5,Arizona,Houston,2,0,200910110crd,61819.0
74,Arizona_Sunday 10/12/03,Baltimore,2003,Sunday 10/12/03,@ Arizona,26-18,Week 6,-6.0,1,8,1,2.0,Arizona,Baltimore,0,3,200310120crd,24193.0
75,Arizona_Sunday 10/12/08,Dallas,2008,Sunday 10/12/08,@ Arizona,24-30,Week 6,-4.5,0,-6,0,-10.5,Arizona,Dallas,2,0,200810120crd,64389.0
76,Arizona_Sunday 10/12/14,Arizona,2014,Sunday 10/12/14,Washington,30-20,Week 6,-5.0,1,10,1,5.0,Arizona,Washington,1,0,201410120crd,61139.0
77,Arizona_Sunday 10/14/07,Arizona,2007,Sunday 10/14/07,Carolina,10-25,Week 6,-6.0,0,-15,0,-21.0,Arizona,Carolina,0,0,200710140crd,
78,Arizona_Sunday 10/14/12,Arizona,2012,Sunday 10/14/12,Buffalo,16-19,Week 6,-5.0,0,-3,0,-8.0,Arizona,Buffalo,0,0,201210140crd,60385.0
79,Arizona_Sunday 10/15/00,Philadelphia,2000,Sunday 10/15/00,@ Arizona,33-14,Week 7,-2.5,1,19,1,16.5,Arizona,Philadelphia,0,0,200010150crd,38293.0
80,Arizona_Sunday 10/20/02,Arizona,2002,Sunday 10/20/02,Dallas,9-6,Week 7,-3.5,0,3,1,-0.5,Arizona,Dallas,2,1,200210200crd,
81,Arizona_Sunday 10/21/01,Kansas City,2001,Sunday 10/21/01,@ Arizona,16-24,Week 6,-2.5,0,-8,0,-10.5,Arizona,Kansas City,1,3,200110210crd,
82,Arizona_Sunday 10/23/05,Arizona,2005,Sunday 10/23/05,Tennessee,20-10,Week 7,-5.5,1,10,1,4.5,Arizona,Tennessee,0,4,200510230crd,
83,Arizona_Sunday 10/23/11,Pittsburgh,2011,Sunday 10/23/11,@ Arizona,32-20,Week 7,-4.0,1,12,1,8.0,Arizona,Pittsburgh,1,1,201110230crd,62475.0
84,Arizona_Sunday 10/24/04,Seattle,2004,Sunday 10/24/04,@ Arizona,17-25,Week 7,-7.0,0,-8,0,-15.0,Arizona,Seattle,0,0,200410240crd,
85,Arizona_Sunday 10/26/03,San Francisco,2003,Sunday 10/26/03,@ Arizona,13-16,Week 8,-7.0,0,-3,0,-10.0,Arizona,San Francisco,0,0,200310260crd,40824.0
86,Arizona_Sunday 10/26/14,Arizona,2014,Sunday 10/26/14,Philadelphia,24-20,Week 8,-1.0,1,4,1,3.0,Arizona,Philadelphia,0,2,201410260crd,61789.0
87,Arizona_Sunday 10/27/13,Arizona,2013,Sunday 10/27/13,Atlanta,27-13,Week 8,-2.5,1,14,1,11.5,Arizona,Atlanta,0,1,201310270crd,60671.0
88,Arizona_Sunday 10/29/00,New Orleans,2000,Sunday 10/29/00,@ Arizona,21-10,Week 9,-6.5,1,11,1,4.5,Arizona,New Orleans,3,0,200010290crd,35286.0
89,Arizona_Sunday 10/31/10,Arizona,2010,Sunday 10/31/10,Tampa Bay,35-38,Week 8,-3.0,0,-3,0,-6.0,Arizona,Tampa Bay,0,0,201010310crd,61857.0
90,Arizona_Sunday 10/31/99,New England,1999,Sunday 10/31/99,@ Arizona,27-3,Week 8,-3.0,1,24,1,21.0,Arizona,New England,1,0,199910310crd,55830.0
91,Arizona_Sunday 11/01/09,Arizona,2009,Sunday 11/01/09,Carolina,21-34,Week 8,-10.0,0,-13,0,-23.0,Arizona,Carolina,0,0,200911010crd,62031.0
92,Arizona_Sunday 11/02/03,Cincinnati,2003,Sunday 11/02/03,@ Arizona,14-17,Week 9,-3.0,0,-3,0,-6.0,Arizona,Cincinnati,0,0,200311020crd,23531.0
93,Arizona_Sunday 11/03/02,St. Louis,2002,Sunday 11/03/02,@ Arizona,27-14,Week 9,-4.0,1,13,1,9.0,Arizona,St. Louis,1,3,200211030crd,
94,Arizona_Sunday 11/04/01,Philadelphia,2001,Sunday 11/04/01,@ Arizona,21-7,Week 8,-6.5,1,14,1,7.5,Arizona,Philadelphia,6,0,200111040crd,
95,Arizona_Sunday 11/05/00,Washington,2000,Sunday 11/05/00,@ Arizona,15-16,Week 10,-9.5,0,-1,0,-10.5,Arizona,Washington,0,0,200011050crd,52244.0
96,Arizona_Sunday 11/06/05,Seattle,2005,Sunday 11/06/05,@ Arizona,33-19,Week 9,-5.5,1,14,1,8.5,Arizona,Seattle,2,1,200511060crd,
97,Arizona_Sunday 11/06/11,Arizona,2011,Sunday 11/06/11,St. Louis,19-13,Week 9,-2.5,1,6,1,3.5,Arizona,St. Louis,0,0,201111060crd,60628.0
98,Arizona_Sunday 11/09/14,Arizona,2014,Sunday 11/09/14,St. Louis,31-14,Week 10,-7.0,1,17,1,10.0,Arizona,St. Louis,0,0,201411090crd,61363.0
99,Arizona_Sunday 11/10/02,Arizona,2002,Sunday 11/10/02,Seattle,6-27,Week 10,-3.0,0,-21,0,-24.0,Arizona,Seattle,1,1,200211100crd,
100,Arizona_Sunday 11/10/13,Arizona,2013,Sunday 11/10/13,Houston,27-24,Week 10,-3.5,0,3,1,-0.5,Arizona,Houston,0,0,201311100crd,60845.0
101,Arizona_Sunday 11/11/01,N.Y. Giants,2001,Sunday 11/11/01,@ Arizona,17-10,Week 9,-5.5,1,7,1,1.5,Arizona,N.Y. Giants,2,1,200111110crd,
102,Arizona_Sunday 11/11/07,Arizona,2007,Sunday 11/11/07,Detroit,31-21,Week 10,-2.5,1,10,1,7.5,Arizona,Detroit,0,0,200711110crd,
103,Arizona_Sunday 11/12/06,Dallas,2006,Sunday 11/12/06,@ Arizona,27-10,Week 10,-6.5,1,17,1,10.5,Arizona,Dallas,3,0,200611120crd,
104,Arizona_Sunday 11/14/04,N.Y. Giants,2004,Sunday 11/14/04,@ Arizona,14-17,Week 10,-1.0,0,-3,0,-4.0,Arizona,N.Y. Giants,0,1,200411140crd,
105,Arizona_Sunday 11/14/10,Arizona,2010,Sunday 11/14/10,Seattle,18-36,Week 10,-3.5,0,-18,0,-21.5,Arizona,Seattle,2,0,201011140crd,61904.0
106,Arizona_Sunday 11/14/99,Detroit,1999,Sunday 11/14/99,@ Arizona,19-23,Week 10,-3.5,0,-4,0,-7.5,Arizona,Detroit,0,0,199911140crd,49600.0
107,Arizona_Sunday 11/15/09,Arizona,2009,Sunday 11/15/09,Seattle,31-20,Week 10,-9.0,1,11,1,2.0,Arizona,Seattle,1,1,200911150crd,62278.0
108,Arizona_Sunday 11/16/14,Detroit,2014,Sunday 11/16/14,@ Arizona,6-14,Week 11,-1.0,0,-8,0,-9.0,Arizona,Detroit,0,1,201411160crd,62487.0
109,Arizona_Sunday 11/18/01,Arizona,2001,Sunday 11/18/01,Detroit,45-38,Week 10,-1.5,1,7,1,5.5,Arizona,Detroit,1,0,200111180crd,
110,Arizona_Sunday 11/19/06,Arizona,2006,Sunday 11/19/06,Detroit,17-10,Week 11,-2.5,1,7,1,4.5,Arizona,Detroit,0,1,200611190crd,
111,Arizona_Sunday 11/21/99,Dallas,1999,Sunday 11/21/99,@ Arizona,9-13,Week 11,-2.5,0,-4,0,-6.5,Arizona,Dallas,1,0,199911210crd,72015.0
112,Arizona_Sunday 11/23/03,St. Louis,2003,Sunday 11/23/03,@ Arizona,30-27,Week 12,-7.0,0,3,1,-4.0,Arizona,St. Louis,0,2,200311230crd,42089.0
113,Arizona_Sunday 11/23/08,N.Y. Giants,2008,Sunday 11/23/08,@ Arizona,37-29,Week 12,-3.0,1,8,1,5.0,Arizona,N.Y. Giants,1,0,200811230crd,64541.0
114,Arizona_Sunday 11/24/02,Oakland,2002,Sunday 11/24/02,@ Arizona,41-20,Week 12,-9.0,1,21,1,12.0,Arizona,Oakland,1,0,200211240crd,
115,Arizona_Sunday 11/24/13,Arizona,2013,Sunday 11/24/13,Indianapolis,40-11,Week 12,-3.5,1,29,1,25.5,Arizona,Indianapolis,0,5,201311240crd,60882.0
116,Arizona_Sunday 11/25/07,Arizona,2007,Sunday 11/25/07,San Francisco,31-37,Week 12,-10.0,0,-6,0,-16.0,Arizona,San Francisco,2,2,200711250crd,
117,Arizona_Sunday 11/25/12,Arizona,2012,Sunday 11/25/12,St. Louis,17-31,Week 12,-1.0,0,-14,0,-15.0,Arizona,St. Louis,0,0,201211250crd,60062.0
118,Arizona_Sunday 11/27/05,Jacksonville,2005,Sunday 11/27/05,@ Arizona,24-17,Week 12,-3.5,1,7,1,3.5,Arizona,Jacksonville,0,0,200511270crd,
119,Arizona_Sunday 11/28/04,N.Y. Jets,2004,Sunday 11/28/04,@ Arizona,13-3,Week 12,-3.0,1,10,1,7.0,Arizona,N.Y. Jets,3,1,200411280crd,
120,Arizona_Sunday 12/02/07,Arizona,2007,Sunday 12/02/07,Cleveland,27-21,Week 13,-1.0,1,6,1,5.0,Arizona,Cleveland,1,0,200712020crd,64791.0
121,Arizona_Sunday 12/04/11,Dallas,2011,Sunday 12/04/11,@ Arizona,13-19,Week 13,-4.0,0,-6,0,-10.0,Arizona,Dallas,0,2,201112040crd,62180.0
122,Arizona_Sunday 12/05/10,St. Louis,2010,Sunday 12/05/10,@ Arizona,19-6,Week 13,-3.0,1,13,1,10.0,Arizona,St. Louis,1,0,201012050crd,61874.0
123,Arizona_Sunday 12/05/99,Arizona,1999,Sunday 12/05/99,Philadelphia,21-17,Week 13,-7.0,0,4,1,-3.0,Arizona,Philadelphia,0,1,199912050crd,46550.0
124,Arizona_Sunday 12/07/08,Arizona,2008,Sunday 12/07/08,St. Louis,34-10,Week 14,-14.0,1,24,1,10.0,Arizona,St. Louis,0,0,200812070crd,63720.0
125,Arizona_Sunday 12/07/14,Kansas City,2014,Sunday 12/07/14,@ Arizona,14-17,Week 14,-2.5,0,-3,0,-5.5,Arizona,Kansas City,0,1,201412070crd,62387.0
126,Arizona_Sunday 12/08/02,Arizona,2002,Sunday 12/08/02,Detroit,23-20,Week 14,0.0,1,3,1,3.0,Arizona,Detroit,2,1,200212080crd,
127,Arizona_Sunday 12/08/13,Arizona,2013,Sunday 12/08/13,St. Louis,30-10,Week 14,-4.5,1,20,1,15.5,Arizona,St. Louis,3,0,201312080crd,60643.0
128,Arizona_Sunday 12/09/01,Arizona,2001,Sunday 12/09/01,Washington,10-20,Week 13,-1.0,0,-10,0,-11.0,Arizona,Washington,4,0,200112090crd,
129,Arizona_Sunday 12/10/06,Seattle,2006,Sunday 12/10/06,@ Arizona,21-27,Week 14,-3.0,0,-6,0,-9.0,Arizona,Seattle,0,0,200612100crd,
130,Arizona_Sunday 12/11/05,Washington,2005,Sunday 12/11/05,@ Arizona,17-13,Week 14,-4.0,0,4,1,0.0,Arizona,Washington,0,1,200512110crd,
131,Arizona_Sunday 12/11/11,San Francisco,2011,Sunday 12/11/11,@ Arizona,19-21,Week 14,-3.5,0,-2,0,-5.5,Arizona,San Francisco,0,0,201112110crd,60808.0
132,Arizona_Sunday 12/12/04,Arizona,2004,Sunday 12/12/04,San Francisco,28-31,Week 14,-4.0,0,-3,0,-7.0,Arizona,San Francisco,1,0,200412120crd,
133,Arizona_Sunday 12/12/10,Denver,2010,Sunday 12/12/10,@ Arizona,13-43,Week 14,-4.0,0,-30,0,-34.0,Arizona,Denver,3,0,201012120crd,62223.0
134,Arizona_Sunday 12/14/03,Carolina,2003,Sunday 12/14/03,@ Arizona,20-17,Week 15,-7.0,0,3,1,-4.0,Arizona,Carolina,0,0,200312140crd,23217.0
135,Arizona_Sunday 12/14/08,Arizona,2008,Sunday 12/14/08,Minnesota,14-35,Week 15,-4.0,0,-21,0,-25.0,Arizona,Minnesota,0,0,200812140crd,64457.0
136,Arizona_Sunday 12/16/12,Detroit,2012,Sunday 12/16/12,@ Arizona,10-38,Week 15,-6.0,0,-28,0,-34.0,Arizona,Detroit,0,0,201212160crd,60483.0
137,Arizona_Sunday 12/17/00,Baltimore,2000,Sunday 12/17/00,@ Arizona,13-7,Week 16,-16.5,0,6,1,-10.5,Arizona,Baltimore,0,1,200012170crd,37452.0
138,Arizona_Sunday 12/17/06,Denver,2006,Sunday 12/17/06,@ Arizona,37-20,Week 15,-2.5,1,17,1,14.5,Arizona,Denver,0,0,200612170crd,
139,Arizona_Sunday 12/18/11,Arizona,2011,Sunday 12/18/11,Cleveland,20-17,Week 15,-6.0,0,3,1,-3.0,Arizona,Cleveland,0,1,201112180crd,60443.0
140,Arizona_Sunday 12/19/04,St. Louis,2004,Sunday 12/19/04,@ Arizona,7-31,Week 15,-3.0,0,-24,0,-27.0,Arizona,St. Louis,0,1,200412190crd,
141,Arizona_Sunday 12/23/01,Arizona,2001,Sunday 12/23/01,Dallas,17-10,Week 15,-3.0,1,7,1,4.0,Arizona,Dallas,1,2,200112230crd,
142,Arizona_Sunday 12/23/07,Arizona,2007,Sunday 12/23/07,Atlanta,30-27,Week 16,-11.0,0,3,1,-8.0,Arizona,Atlanta,2,4,200712230crd,
143,Arizona_Sunday 12/23/12,Chicago,2012,Sunday 12/23/12,@ Arizona,28-13,Week 16,-7.0,1,15,1,8.0,Arizona,Chicago,2,3,201212230crd,62734.0
144,Arizona_Sunday 12/27/09,Arizona,2009,Sunday 12/27/09,St. Louis,31-10,Week 16,-16.0,1,21,1,5.0,Arizona,St. Louis,0,7,200912270crd,62624.0
145,Arizona_Sunday 12/28/03,Minnesota,2003,Sunday 12/28/03,@ Arizona,17-18,Week 17,-7.5,0,-1,0,-8.5,Arizona,Minnesota,1,1,200312280crd,52734.0
146,Arizona_Sunday 12/28/08,Arizona,2008,Sunday 12/28/08,Seattle,34-21,Week 17,-7.0,1,13,1,6.0,Arizona,Seattle,2,0,200812280crd,63874.0
147,Arizona_Sunday 12/29/13,Arizona,2013,Sunday 12/29/13,San Francisco,20-23,Week 17,-3.0,0,-3,0,-6.0,Arizona,San Francisco,0,2,201312290crd,63570.0
148,Arizona_Sunday 12/30/07,Arizona,2007,Sunday 12/30/07,St. Louis,48-19,Week 17,-6.0,1,29,1,23.0,Arizona,St. Louis,1,1,200712300crd,
